No.,WORD,TRUE_V,PREDICT_V,V_ERROR,TRUE_A,PREDICT_A,A_ERROR
1537,谢意,6.2,4.0,2.2,6.0,6.0,0.0
1604,欢笑,7.4,4.4,3.0,6.8,5.9,0.9
411,低能,2.6,3.7,-1.1,4.6,6.0,-1.4
1521,聪明,7.0,5.3,1.7,4.8,5.5,-0.7
1152,傻子,3.6,4.1,-0.5,4.2,5.9,-1.7
339,丢脸,3.0,3.9,-0.9,5.8,6.0,-0.2
1026,悲苦,2.4,4.0,-1.6,5.0,5.9,-0.9
44,无趣,3.4,5.1,-1.7,5.2,5.5,-0.3
540,怕羞,4.2,4.1,0.1,5.4,5.9,-0.5
602,保卫,5.8,4.0,1.8,6.4,6.1,0.3
1333,僵局,3.8,4.0,-0.2,4.2,5.9,-1.7
966,贪婪,2.8,3.6,-0.8,6.6,6.0,0.6
1483,迟疑,3.6,4.0,-0.4,4.8,5.9,-1.1
172,款待,6.2,4.4,1.8,5.4,5.8,-0.4
418,克制,5.0,3.9,1.1,5.0,5.9,-0.9
838,高傲,3.2,5.2,-2.0,6.0,5.4,0.6
1552,坏死,2.8,3.4,-0.6,5.0,5.9,-0.9
1376,乐天,6.8,4.6,2.2,4.6,5.8,-1.2
807,胁迫,2.6,3.6,-1.0,7.2,6.2,1.0
883,排斥,3.2,3.8,-0.6,6.0,6.0,0.0
1547,镇压,3.0,3.6,-0.6,7.0,6.3,0.7
638,怒不,3.8,5.0,-1.2,5.8,5.0,0.8
424,利己,5.6,3.8,1.8,4.8,5.9,-1.1
728,哭闹,2.8,4.0,-1.2,7.4,5.9,1.5
968,贪欲,3.6,4.0,-0.4,5.6,5.8,-0.2
1340,堕落,2.4,3.6,-1.2,6.2,6.1,0.1
377,有钱,6.4,5.2,1.2,5.4,5.5,-0.1
525,奇怪,4.2,5.1,-0.9,5.2,5.5,-0.3
439,妨碍,3.2,3.8,-0.6,5.8,5.9,-0.1
1425,遭受,3.6,3.5,0.1,5.8,6.1,-0.3
151,抱怨,2.8,3.8,-1.0,6.6,5.9,0.7
1653,贪污,1.8,3.6,-1.8,7.6,6.0,1.6
1498,优雅,6.8,5.5,1.3,5.0,5.4,-0.4
982,创伤,2.8,3.7,-0.9,6.2,5.9,0.3
955,贫困,3.2,3.9,-0.7,4.4,5.9,-1.5
1489,头昏,3.2,3.8,-0.6,4.6,6.0,-1.4
144,忌妒,3.0,5.1,-2.1,6.8,5.5,1.3
718,倒霉,3.2,4.0,-0.8,5.4,5.9,-0.5
527,孤,3.4,3.9,-0.5,4.6,5.8,-1.2
584,知识,6.6,5.5,1.1,3.4,5.4,-2.0
976,阴暗,3.6,5.1,-1.5,3.8,5.4,-1.6
567,服从,5.4,4.0,1.4,3.8,5.9,-2.1
1233,万念俱灰,1.4,4.0,-2.6,7.4,6.0,1.4
441,孝顺,7.4,5.3,2.1,5.4,5.4,0.0
1156,嫉,3.0,4.0,-1.0,6.2,5.9,0.3
175,闲话,4.0,4.0,0.0,4.4,5.9,-1.5
1295,祸,3.2,3.9,-0.7,6.0,5.9,0.1
1398,奖杯,7.4,7.0,0.4,5.4,5.5,-0.1
124,操,2.0,4.0,-2.0,8.0,5.8,2.2
139,打断,4.0,3.5,0.5,4.6,6.1,-1.5
880,情绪,4.6,3.8,0.8,5.4,5.9,-0.5
1076,无味,4.4,4.0,0.4,3.2,5.8,-2.6
733,害怕,3.2,3.6,-0.4,5.6,6.0,-0.4
625,哀恸,1.8,4.0,-2.2,7.6,5.9,1.7
1300,精疲力尽,3.0,3.5,-0.5,5.2,6.0,-0.8
785,真诚,7.0,5.4,1.6,5.0,5.4,-0.4
1367,敌视,3.0,3.7,-0.7,6.6,6.0,0.6
1281,满足,7.4,4.4,3.0,4.6,5.6,-1.0
183,驳斥,2.8,3.7,-0.9,7.2,6.0,1.2
618,哀求,2.8,4.0,-1.2,5.6,6.0,-0.4
1325,酸,4.6,3.9,0.7,4.8,5.9,-1.1
691,美梦,6.8,4.3,2.5,5.8,5.9,-0.1
1450,整洁,6.8,5.4,1.4,4.2,5.3,-1.1
241,仁爱,7.8,6.1,1.7,5.2,5.3,-0.1
1255,违纪,2.6,3.2,-0.6,5.6,6.1,-0.5
1351,忧心,3.6,3.7,-0.1,6.0,6.0,0.0
459,扶持,6.0,4.1,1.9,4.2,6.0,-1.8
682,珍爱,7.2,4.4,2.8,6.0,5.8,0.2
466,折磨,2.4,3.6,-1.2,7.0,6.1,0.9
1188,极好,7.8,5.4,2.4,7.8,5.4,2.4
1192,毁败,2.8,3.9,-1.1,6.4,5.9,0.5
146,抗议,3.2,3.8,-0.6,7.8,6.1,1.7
207,讥,3.2,3.8,-0.6,6.0,5.9,0.1
1213,烦愁,2.8,5.0,-2.2,6.8,5.0,1.8
1433,魅力,7.2,5.6,1.6,5.6,5.5,0.1
325,生命力,6.8,5.5,1.3,5.8,5.4,0.4
658,拼命,5.2,4.0,1.2,7.6,6.0,1.6
1509,击败,6.0,3.9,2.1,6.8,6.4,0.4
715,风险,3.8,4.0,-0.2,6.4,5.7,0.7
1524,胆量,5.4,5.2,0.2,4.6,5.5,-0.9
1564,稳健,7.0,5.4,1.6,5.2,5.3,-0.1
80,丧失,2.6,3.7,-1.1,5.8,5.9,-0.1
1505,压迫,2.8,3.7,-0.9,7.2,6.0,1.2
1588,骚动,4.0,3.4,0.6,6.6,6.3,0.3
688,美好,6.8,5.5,1.3,5.6,5.5,0.1
167,情人,6.8,4.4,2.4,6.6,5.9,0.7
230,大胆,5.4,5.3,0.1,6.2,5.5,0.7
1596,蠢,3.0,4.0,-1.0,5.2,5.9,-0.7
1463,腻,3.6,4.0,-0.4,4.0,5.9,-1.9
741,徒劳无功,3.4,3.8,-0.4,4.4,5.9,-1.5
101,关心,6.4,5.3,1.1,6.0,5.5,0.5
291,古怪,4.2,5.1,-0.9,4.8,5.5,-0.7
445,完善,6.8,4.7,2.1,4.6,5.4,-0.8
879,患病,2.8,3.7,-0.9,4.8,5.8,-1.0
1078,无知,3.6,3.8,-0.2,4.4,4.7,-0.3
740,弱点,3.8,3.9,-0.1,4.8,5.9,-1.1
392,百感交集,3.4,4.1,-0.7,7.2,5.9,1.3
87,损失,3.2,3.9,-0.7,5.2,5.9,-0.7
1652,郁,3.0,4.1,-1.1,4.8,5.8,-1.0
667,歪曲,3.6,3.6,0.0,4.0,6.0,-2.0
1276,慷慨,6.8,5.4,1.4,5.8,5.5,0.3
1487,错乱,3.0,3.5,-0.5,6.2,6.0,0.2
476,灾,2.0,4.0,-2.0,5.6,5.8,-0.2
1296,福气,7.0,4.4,2.6,4.4,5.8,-1.4
45,无礼,2.8,3.6,-0.8,7.0,6.0,1.0
789,祝贺,7.0,4.6,2.4,6.2,6.1,0.1
1003,喝采,7.4,4.6,2.8,7.0,5.9,1.1
1138,伤,3.4,3.5,-0.1,5.2,6.0,-0.8
25,不满,3.2,3.7,-0.5,6.4,6.0,0.4
1236,落空,3.4,3.9,-0.5,5.8,5.9,-0.1
833,逃离,4.0,3.5,0.5,6.2,6.2,0.0
1194,毁伤,2.6,3.6,-1.0,6.4,6.0,0.4
592,侵犯,2.4,3.6,-1.2,6.2,6.1,0.1
1628,惊愕,3.6,5.1,-1.5,7.4,5.6,1.8
974,阴沉,3.2,5.2,-2.0,3.4,5.4,-2.0
1057,愉,5.8,4.3,1.5,5.2,5.9,-0.7
110,呸,2.4,4.2,-1.8,7.4,6.0,1.4
1161,想念,4.8,4.3,0.5,5.4,5.9,-0.5
1355,忧愁,2.8,4.1,-1.3,5.4,5.9,-0.5
223,人心惶惶,2.6,3.5,-0.9,7.4,6.1,1.3
1053,恶运,2.8,3.6,-0.8,6.0,6.1,-0.1
1312,误解,3.4,3.6,-0.2,5.6,6.0,-0.4
723,凌乱,3.4,5.1,-1.7,6.0,5.4,0.6
56,小心,4.6,4.0,0.6,6.0,5.9,0.1
1630,惊叹,5.4,4.1,1.3,7.6,5.9,1.7
254,分红,6.2,4.7,1.5,4.4,5.4,-1.0
1568,难堪,3.0,5.1,-2.1,6.4,5.5,0.9
1073,渴望,5.6,5.4,0.2,5.8,5.5,0.3
643,怒吼,2.0,4.1,-2.1,8.8,6.0,2.8
546,怪诞,3.4,4.1,-0.7,5.8,5.9,-0.1
478,狂怒,1.6,3.4,-1.8,8.6,6.3,2.3
950,羞愤,2.2,3.8,-1.6,7.8,6.0,1.8
844,偏见,3.4,3.7,-0.3,5.6,6.0,-0.4
64,同意,6.4,4.3,2.1,4.4,5.8,-1.4
414,低落,3.8,3.8,0.0,3.0,5.8,-2.8
385,死气,3.0,3.7,-0.7,5.8,6.2,-0.4
1615,变动,4.8,4.2,0.6,6.0,5.5,0.5
975,阴森,3.2,4.1,-0.9,3.6,5.9,-2.3
1347,庆功,7.0,4.7,2.3,7.2,5.9,1.3
885,挂念,4.8,4.1,0.7,5.2,5.9,-0.7
452,弄痛,3.0,5.0,-2.0,6.4,5.0,1.4
1259,顽固,3.2,5.1,-1.9,6.4,5.4,1.0
657,拷问,2.8,3.5,-0.7,7.0,6.2,0.8
1449,整齐,6.6,5.4,1.2,4.2,5.2,-1.0
1328,肮脏,3.2,5.0,-1.8,4.6,5.5,-0.9
370,有用,6.4,5.3,1.1,5.2,5.4,-0.2
690,美味,6.8,5.4,1.4,5.6,5.5,0.1
220,一无所有,2.4,4.0,-1.6,4.4,6.0,-1.6
1543,谨慎,6.4,5.2,1.2,4.2,5.4,-1.2
1321,远离,4.4,3.8,0.6,3.8,5.8,-2.0
22,不顺,3.6,3.8,-0.2,4.6,5.8,-1.2
761,书呆子,3.6,5.1,-1.5,4.2,5.5,-1.3
870,强硬,4.8,3.9,0.9,7.0,5.9,1.1
421,冷淡,3.0,5.1,-2.1,3.6,5.4,-1.8
1350,庆贺,7.0,4.3,2.7,6.0,5.9,0.1
200,亲爱的,7.2,5.0,2.2,6.4,5.0,1.4
451,庇护,6.2,4.0,2.2,5.6,6.0,-0.4
1162,惹恼,3.0,3.6,-0.6,7.2,6.1,1.1
1020,尊荣,7.6,5.5,2.1,5.2,5.5,-0.3
912,爽快,7.4,5.3,2.1,6.8,5.5,1.3
697,致命,2.0,3.6,-1.6,7.8,6.1,1.7
812,茫然,3.4,4.1,-0.7,3.4,5.9,-2.5
1237,解决,6.2,4.1,2.1,4.8,5.8,-1.0
1620,惊呆,4.4,3.9,0.5,7.8,6.1,1.7
911,爽心,7.2,5.0,2.2,7.0,5.0,2.0
1050,恶臭,2.8,3.5,-0.7,6.6,6.0,0.6
506,受惠,7.0,4.4,2.6,5.4,5.6,-0.2
1495,优美,6.8,5.5,1.3,5.4,5.4,0.0
1256,违约,2.8,3.9,-1.1,5.6,5.8,-0.2
406,至高无上,7.6,5.5,2.1,6.8,5.6,1.2
318,打情骂俏,4.6,4.0,0.6,6.6,6.0,0.6
184,嘲弄,2.6,3.6,-1.0,6.2,6.1,0.1
1121,诈骗,2.6,3.6,-1.0,7.0,6.1,0.9
1530,艰巨,3.2,5.3,-2.1,7.2,5.5,1.7
610,冒险,4.8,5.3,-0.5,7.6,5.7,1.9
627,品德,5.2,5.6,-0.4,4.2,5.4,-1.2
486,良,6.4,4.3,2.1,4.8,5.8,-1.0
279,心碎,2.2,4.2,-2.0,8.0,5.9,2.1
631,威胁,3.0,3.8,-0.8,7.4,6.0,1.4
21,不符,3.8,3.9,-0.1,4.0,5.7,-1.7
171,插嘴,3.6,4.1,-0.5,5.6,5.9,-0.3
1426,铤而走险,3.0,3.6,-0.6,7.0,6.0,1.0
902,深思,5.2,3.3,1.9,2.6,5.8,-3.2
1040,闷,3.8,4.0,-0.2,4.0,5.9,-1.9
177,爱恋,7.6,4.4,3.2,6.8,5.8,1.0
328,生病,3.4,3.7,-0.3,4.0,5.8,-1.8
707,负债,3.2,4.0,-0.8,6.0,5.7,0.3
1223,罪大恶极,1.4,3.9,-2.5,8.8,6.0,2.8
471,决心,6.4,4.1,2.3,6.6,5.9,0.7
1520,绷紧,4.2,3.8,0.4,7.2,5.9,1.3
267,天资,5.8,5.3,0.5,4.4,5.4,-1.0
616,咬牙切齿,2.2,3.9,-1.7,8.2,6.0,2.2
131,仇人,2.2,4.0,-1.8,7.2,6.0,1.2
866,强奸,1.4,3.3,-1.9,8.4,6.2,2.2
1590,惧怕,2.6,3.7,-1.1,7.2,6.0,1.2
1363,挚爱,7.8,4.3,3.5,6.2,5.9,0.3
1526,艰困,3.2,5.2,-2.0,6.6,5.5,1.1
490,享受,6.6,5.5,1.1,4.8,5.4,-0.6
607,信义,7.0,5.8,1.2,5.4,5.2,0.2
1218,痴狂,4.0,4.2,-0.2,7.6,5.9,1.7
1165,爱心,7.0,6.0,1.0,4.6,5.5,-0.9
417,作弊,2.0,3.8,-1.8,6.4,6.0,0.4
1501,吓,3.6,3.9,-0.3,6.8,6.0,0.8
153,放心,6.2,4.1,2.1,3.2,5.9,-2.7
890,敏感,4.6,5.1,-0.5,5.0,5.4,-0.4
850,伪造,2.6,3.6,-1.0,6.0,6.0,0.0
280,心酸,2.8,4.1,-1.3,6.8,5.9,0.9
1035,悲剧,2.2,3.6,-1.4,6.4,6.2,0.2
270,引人注目,5.8,5.4,0.4,6.4,5.5,0.9
97,帮助,6.6,4.3,2.3,5.6,5.9,-0.3
211,欢迎,7.2,5.7,1.5,6.4,5.7,0.7
1533,艰难,3.2,5.2,-2.0,7.2,5.5,1.7
570,欣欣,6.4,4.5,1.9,6.4,5.9,0.5
1597,护,6.0,4.2,1.8,4.4,5.7,-1.3
872,得意,5.8,5.3,0.5,5.4,5.5,-0.1
533,忠孝,7.4,4.5,2.9,5.8,5.6,0.2
1594,缠讼,3.6,3.4,0.2,5.6,6.0,-0.4
1357,忧虑,2.8,3.8,-1.0,6.2,5.9,0.3
1100,痛哭流涕,1.8,4.0,-2.2,8.0,6.0,2.0
713,降级,3.6,3.7,-0.1,5.8,6.0,-0.2
78,喜爱,7.2,5.5,1.7,6.2,5.6,0.6
264,反对,3.4,3.9,-0.5,6.2,6.0,0.2
1649,赞叹,7.6,5.4,2.2,7.2,5.5,1.7
150,奉献,6.8,4.6,2.2,6.0,5.8,0.2
1539,鲜明,6.4,5.5,0.9,5.4,5.4,0.0
1601,欢心,7.2,3.2,4.0,6.6,5.8,0.8
470,攻击,3.6,3.8,-0.2,7.4,6.1,1.3
565,昏头,3.4,3.8,-0.4,4.8,6.0,-1.2
462,抑制,4.8,3.9,0.9,5.4,5.9,-0.5
1278,荣幸,6.8,5.4,1.4,5.4,5.5,-0.1
897,淘气,5.6,4.3,1.3,5.6,5.9,-0.3
1394,热泪盈眶,5.0,4.1,0.9,7.6,6.0,1.6
1346,德行,6.6,5.6,1.0,3.2,5.4,-2.2
696,胡扯,3.0,3.8,-0.8,7.6,6.0,1.6
1176,慈悲,5.6,4.3,1.3,5.0,5.8,-0.8
929,眼花撩乱,4.4,4.0,0.4,5.6,5.9,-0.3
1327,铭印,5.8,3.8,2.0,6.2,6.0,0.2
1215,烦扰,3.4,3.7,-0.3,6.0,6.0,0.0
587,花招,4.0,3.8,0.2,4.8,6.0,-1.2
1373,乐,6.6,4.8,1.8,5.6,5.8,-0.2
244,仇,2.4,4.0,-1.6,6.0,5.9,0.1
1112,舒服,6.6,5.1,1.5,3.6,5.4,-1.8
752,悔悟,3.2,4.0,-0.8,7.0,5.9,1.1
1577,严格,3.8,5.3,-1.5,6.8,5.3,1.5
1443,擅长,6.2,5.3,0.9,5.0,5.5,-0.5
1313,说谎,2.6,4.0,-1.4,5.4,5.9,-0.5
649,思乡,3.8,4.1,-0.3,5.8,5.9,-0.1
1191,毁掉,2.8,3.6,-0.8,6.6,6.1,0.5
596,侵扰,3.0,3.6,-0.6,6.8,6.1,0.7
314,平稳,5.8,5.3,0.5,3.4,5.2,-1.8
934,窒碍,2.6,3.9,-1.3,6.8,5.7,1.1
156,争论,3.8,3.8,0.0,6.6,5.9,0.7
1381,乐善,6.4,4.5,1.9,4.4,5.6,-1.2
1406,奖励,7.0,5.1,1.9,5.2,5.7,-0.5
1304,紧绷,3.8,5.1,-1.3,7.2,5.4,1.8
1151,傻,3.6,4.1,-0.5,4.0,5.9,-1.9
1000,喜极而泣,8.2,4.1,4.1,8.4,6.0,2.4
1047,恶毒,2.0,5.1,-3.1,7.4,5.5,1.9
1307,腐败,2.4,3.6,-1.2,5.6,6.0,-0.4
1496,优胜,7.6,6.5,1.1,6.8,5.7,1.1
1392,热情,6.6,5.5,1.1,6.4,5.5,0.9
26,不适,3.6,3.7,-0.1,4.6,5.7,-1.1
197,谄媚,3.4,3.9,-0.5,5.6,5.9,-0.3
1089,无精打采,3.6,4.0,-0.4,3.4,6.0,-2.6
16,不准,3.6,3.7,-0.1,6.2,5.9,0.3
1491,优,6.8,4.5,2.3,5.4,5.8,-0.4
1322,鄙,2.8,4.0,-1.2,6.2,5.9,0.3
884,挣扎,3.2,3.8,-0.6,7.4,5.9,1.5
622,哀伤,2.4,5.2,-2.8,5.4,5.5,-0.1
1361,愤,2.6,3.9,-1.3,7.6,5.9,1.7
1051,恶斗,2.6,3.5,-0.9,7.6,6.2,1.4
1068,钦佩,7.2,5.4,1.8,5.8,5.5,0.3
498,刺激,4.2,4.0,0.2,8.0,5.8,2.2
793,神圣,7.2,4.0,3.2,5.0,6.1,-1.1
965,贪念,3.6,3.9,-0.3,5.0,5.9,-0.9
516,和善,7.0,5.3,1.7,3.0,5.4,-2.4
1614,变味,3.4,3.7,-0.3,5.2,5.9,-0.7
1586,赢取,6.4,4.9,1.5,6.0,5.9,0.1
1479,输家,3.0,4.1,-1.1,5.0,5.9,-0.9
1412,缓和,5.2,4.0,1.2,3.2,5.8,-2.6
1096,犹豫,4.2,3.8,0.4,4.8,5.9,-1.1
543,性骚扰,2.6,3.5,-0.9,6.6,6.1,0.5
457,快乐,7.2,5.5,1.7,6.4,5.5,0.9
634,帅气,7.0,5.3,1.7,6.0,5.4,0.6
432,困,3.8,3.7,0.1,4.4,5.9,-1.5
628,哄骗,3.4,3.9,-0.5,5.6,6.0,-0.4
729,哽咽,3.0,4.0,-1.0,6.4,6.0,0.4
1289,疑惑,3.8,3.2,0.6,4.8,5.9,-1.1
210,谴责,3.0,3.7,-0.7,7.2,6.2,1.0
317,打破,4.0,4.1,-0.1,6.2,6.0,0.2
514,咆啸,3.6,3.9,-0.3,8.0,6.0,2.0
1338,恶,2.4,4.0,-1.6,6.0,5.9,0.1
1559,懒惰,3.4,5.0,-1.6,4.0,5.4,-1.4
830,迷乱,3.2,3.8,-0.6,6.2,6.0,0.2
320,打击,4.2,3.8,0.4,6.8,6.1,0.7
1032,悲愁,2.8,4.1,-1.3,4.6,5.9,-1.3
1418,贱民,2.2,3.7,-1.5,7.6,6.0,1.6
142,安心,5.6,4.4,1.2,2.4,5.8,-3.4
1111,脾气,4.8,5.1,-0.3,4.4,5.4,-1.0
1503,压抑,2.6,3.8,-1.2,5.4,5.9,-0.5
1528,艰苦,3.0,5.3,-2.3,6.6,5.5,1.1
754,悔过,2.8,4.0,-1.2,6.2,5.9,0.3
1002,喜庆,7.4,4.4,3.0,6.6,5.8,0.8
1240,诡计,3.4,3.5,-0.1,5.2,6.1,-0.9
581,玩笑,5.6,4.0,1.6,6.0,6.0,0.0
563,昏沉,3.2,4.0,-0.8,3.4,5.9,-2.5
399,自信,7.0,5.4,1.6,5.6,5.4,0.2
669,泄气,3.6,3.8,-0.2,3.6,5.8,-2.2
1515,瞧不起,3.2,5.1,-1.9,6.2,5.5,0.7
253,分歧,3.2,3.9,-0.7,5.6,5.9,-0.3
908,清白,6.2,3.9,2.3,3.4,5.9,-2.5
469,攻势,5.2,4.0,1.2,6.4,6.1,0.3
915,牵挂,4.4,4.2,0.2,5.0,5.9,-0.9
358,好运,6.6,4.5,2.1,5.2,5.9,-0.7
1279,荣耀,7.6,6.0,1.6,7.0,5.7,1.3
1301,精疲力竭,3.0,3.8,-0.8,5.4,6.1,-0.7
1203,温馨,7.4,5.4,2.0,4.0,5.5,-1.5
1306,腐臭,3.0,4.0,-1.0,4.4,5.9,-1.5
1415,冲击,3.2,3.8,-0.6,7.2,6.0,1.2
509,受骗,3.0,4.0,-1.0,6.4,5.9,0.5
750,悔改,4.0,3.8,0.2,6.0,6.0,0.0
1608,欢声,7.2,4.3,2.9,6.2,5.9,0.3
130,八卦,3.4,4.2,-0.8,4.6,5.7,-1.1
145,批评,3.2,3.9,-0.7,7.6,5.9,1.7
961,贪心,3.0,4.0,-1.0,5.6,5.9,-0.3
848,偷取,2.4,3.6,-1.2,6.4,6.1,0.3
716,首要,5.2,4.1,1.1,5.0,5.8,-0.8
906,混乱,3.0,3.6,-0.6,6.4,6.0,0.4
1097,痛,3.0,4.0,-1.0,6.2,5.9,0.3
236,不贞,2.8,3.8,-1.0,6.8,6.0,0.8
1062,最好,6.8,5.5,1.3,6.2,5.5,0.7
